"","SubjectTag","CASEID","S00_H40"
"277",27700,277,28.0263494499872
"278",27800,278,33.171622983871
"279",27900,279,38.4863429438543
"280",28000,280,NA
"281",28100,281,81.25
"282",28200,282,78.5111281657713
"283",28300,283,52.2053616590794
"284",28400,284,50.1209677419355
"285",28500,285,31.6896904579176
"286",28600,286,71.3961693548387
"287",28700,287,29.5160740172252
"288",28800,288,24.3069556451613
"289",28900,289,23.8360194423126
"290",29000,290,27.5378024193548
"291",29100,291,16.2518120576448
"292",29200,292,81.5596486740002
"293",29300,293,78.2766265882152
"294",29400,294,48.7838818973863
"295",29500,295,NA
"296",29600,296,63.2397572078907
"297",29700,297,38.4501008064516
"298",29800,298,NA
"299",29900,299,13.3409205867476
"300",30000,300,16.300902218971
"301",30100,301,40.8770161290323
"302",30200,302,27.9334677419355
"303",30300,303,30.4937324123817
"304",30400,304,54.4960347915068
"305",30500,305,31.1869959677419
"306",30600,306,46.0903897849462
"307",30700,307,55.1310483870968
"308",30800,308,62.3487903225806
"309",30900,309,48.0067365907734
"310",31000,310,48.5482220516756
"311",31100,311,35.3351240726529
"312",31200,312,50.6804435483871
"313",31300,313,22.9523689516129
"314",31400,314,59.769647696477
"315",31500,315,18.8475313379381
"316",31600,316,64.7051411290323
"317",31700,317,52.9730536369063
"318",31800,318,NA
"319",31900,319,87.6993263409227
"320",32000,320,67.8637432795699
"321",32100,321,89.7144240077444
"322",32200,322,71.2764616935484
"323",32300,323,59.0206361388249
"324",32400,324,2.92338709677419
"325",32500,325,NA
"326",32600,326,NA
"327",32700,327,74.8061035238577
"328",32800,328,NA
"329",32900,329,NA
"330",33000,330,NA
"331",33100,331,18.913810483871
"332",33200,332,11.8636479918138
"333",33300,333,72.0772576106421
"334",33400,334,NA
"335",33500,335,50.5529973565277
"336",33600,336,NA
"337",33700,337,47.9620295698925
"338",33800,338,58.2325268817204
"339",33900,339,5.96699923254029
"340",34000,340,33.1990278843694
"341",34100,341,77.7845528455285
"342",34200,342,79.8477871578409
"343",34300,343,37.0909013387908
"344",34400,344,76.1340725806452
"345",34500,345,NA
"346",34600,346,74.9747983870968
"347",34700,347,82.4379636735738
"348",34800,348,69.3485119808988
"349",34900,349,68.0596060373497
"350",35000,350,79.2086693548387
"351",35100,351,46.6683467741935
"352",35200,352,47.1900201612903
"353",35300,353,28.260248655914
"354",35400,354,53.5793468065149
"355",35500,355,68.0376344086022
"356",35600,356,39.1881638846737
"357",35700,357,61.3751680107527
"358",35800,358,88.2182459677419
"359",35900,359,69.2376566896905
"360",36000,360,87.8717237903226
"361",36100,361,89.4495026133873
"362",36200,362,33.5987903225806
"363",36300,363,62.3739919354839
"364",36400,364,84.1649865591398
"365",36500,365,80.0277217741936
"366",36600,366,NA
"367",36700,367,74.8613911290323
"368",36800,368,62.3461473613219
"369",36900,369,72.4418009721156
"370",37000,370,78.1817036290323
"371",37100,371,NA
"372",37200,372,83.8898689516129
"373",37300,373,53.8867570563657
"374",37400,374,56.9774878485546
"375",37500,375,39.3262768817204
"376",37600,376,63.05321053978
"377",37700,377,61.2036326426196
"378",37800,378,4.76464568943464
"379",37900,379,48.6889229982093
"380",38000,380,45.2935987903226
"381",38100,381,58.1653225806452
"382",38200,382,38.8250242013553
"383",38300,383,NA
"384",38400,384,NA
"385",38500,385,39.070094653364
"386",38600,386,49.1683467741936
"387",38700,387,64.1916091071885
"388",38800,388,64.5864946889226
"389",38900,389,35.7115255376344
"390",39000,390,49.2880544354839
"391",39100,391,64.7177419354839
"392",39200,392,46.4079301075269
"393",39300,393,63.745574102175
"394",39400,394,50.2662149080348
"395",39500,395,37.443095599393
"396",39600,396,23.4879032258064
"397",39700,397,14.5190585827577
"398",39800,398,7.9855842185129
"399",39900,399,78.0506523407521
"400",40000,400,75.6395497569711
"401",40100,401,35.1688411358404
"402",40200,402,26.2096774193548
"403",40300,403,13.2356954037691
"404",40400,404,NA
"405",40500,405,45.7081653225806
"406",40600,406,58.0647224354055
"407",40700,407,86.1537477615758
"408",40800,408,46.2970069071374
"409",40900,409,87.5336021505376
"410",41000,410,45.4272192376567
"411",41100,411,31.7842690945878
"412",41200,412,84.0943975441289
"413",41300,413,NA
"414",41400,414,61.4730342741936
"415",41500,415,34.2426915322581
"416",41600,416,88.9293937068304
"417",41700,417,45.0722446236559
"418",41800,418,51.5157329240215
"419",41900,419,26.2918905090816
"420",42000,420,50.2750063954976
"421",42100,421,87.5605033881897
"422",42200,422,87.9210369233393
"423",42300,423,88.1384408602151
"424",42400,424,51.4910036667519
"425",42500,425,28.1972446236559
"426",42600,426,49.3313172043011
"427",42700,427,NA
"428",42800,428,57.2379032258065
"429",42900,429,NA
"430",43000,430,NA
"431",43100,431,72.6881720430108
"432",43200,432,36.680216802168
"433",43300,433,29.162633107454
"434",43400,434,44.1928882067025
"435",43500,435,37.2857862903226
"436",43600,436,64.204400102328
"437",43700,437,53.6340725806452
"438",43800,438,57.2588897416219
"439",43900,439,77.6669224865695
"440",44000,440,NA
"441",44100,441,23.8360194423126
"442",44200,442,68.0310394815383
"443",44300,443,69.3548387096774
"444",44400,444,70.6275201612903
"445",44500,445,60.4950115118956
"446",44600,446,45.4105547125274
"447",44700,447,28.7172379032258
"448",44800,448,NA
"449",44900,449,54.7261424731183
"450",45000,450,61.6334100793042
"451",45100,451,NA
"452",45200,452,71.770273727296
"453",45300,453,45.5487336914812
"454",45400,454,47.4546370967742
"455",45500,455,94.9475569199284
"456",45600,456,93.6258207555214
"457",45700,457,75.9240591397849
"458",45800,458,93.5735887096774
"459",45900,459,81.3634072580645
"460",46000,460,48.9541330645161
"461",46100,461,69.0146169354839
"462",46200,462,86.6641465053763
"463",46300,463,31.1206317204301
"464",46400,464,78.9161763451863
"465",46500,465,54.8765120967742
"466",46600,466,64.5665322580645
"467",46700,467,86.3328216935278
"468",46800,468,79.3304771505376
"469",46900,469,64.7303427419355
"470",47000,470,27.5012600806452
"471",47100,471,45.5500127909951
"472",47200,472,14.8183678690202
"473",47300,473,23.3883346124328
"474",47400,474,30.4233819391149
"475",47500,475,24.6597782258064
"476",47600,476,46.4632898439499
"477",47700,477,21.7958557175748
"478",47800,478,63.7752016129032
"479",47900,479,73.6761320030698
"480",48000,480,73.7449596774194
"481",48100,481,66.2172379032258
"482",48200,482,86.991557943208
"483",48300,483,35.0963588300503
"484",48400,484,48.5482220516756
"485",48500,485,42.6537298387097
"486",48600,486,57.2205167562036
"487",48700,487,72.0329301075269
"488",48800,488,43.8219493476592
"489",48900,489,71.7510872345868
"490",49000,490,NA
"491",49100,491,41.3886757056366
"492",49200,492,56.2356101304682
"493",49300,493,56.7876344086022
"494",49400,494,77.3923424575765
"495",49500,495,52.5168010752688
"496",49600,496,46.6551547710412
"497",49700,497,NA
"498",49800,498,53.3610551075269
"499",49900,499,52.8012279355334
"500",50000,500,68.5277564594525
"501",50100,501,87.5479662317728
"502",50200,502,63.2728494623656
"503",50300,503,54.534407776925
"504",50400,504,8.55594758064516
"505",50500,505,53.067876344086
"506",50600,506,58.8328275164391
"507",50700,507,55.8782762096774
"508",50800,508,NA
"509",50900,509,NA
"510",51000,510,NA
"511",51100,511,NA
"512",51200,512,70.5849748443762
"513",51300,513,71.5977822580645
"514",51400,514,64.2171910974674
"515",51500,515,NA
"516",51600,516,22.6103389417215
"517",51700,517,62.4369959677419
"518",51800,518,19.0010232796112
"519",51900,519,11.8060885136864
"520",52000,520,88.5584677419355
"521",52100,521,78.8432459677419
"522",52200,522,NA
"523",52300,523,NA
"524",52400,524,NA
"525",52500,525,NA
"526",52600,526,71.6679457661806
"527",52700,527,47.1975806451613
"528",52800,528,50.554435483871
"529",52900,529,33.9963749789243
"530",53000,530,11.9148119723714
"531",53100,531,23.9583866291464
"532",53200,532,NA
"533",53300,533,58.1086189516129
"534",53400,534,34.6144153225806
"535",53500,535,23.51416287304
"536",53600,536,5.18674852903556
"537",53700,537,NA
"538",53800,538,20.1881720430108
"539",53900,539,NA
"540",54000,540,36.4991046303402
"541",54100,541,25.8889741621898
"542",54200,542,30.2187260168841
"543",54300,543,47.9329751854694
"544",54400,544,46.6999232540292
"545",54500,545,NA
"546",54600,546,28.9629536290323
"547",54700,547,55.6014784946237
"548",54800,548,40.8447142134547
"549",54900,549,48.2092606804809
"550",55000,550,46.9216338364458
"551",55100,551,NA
"552",55200,552,80.3141801075269
"553",55300,553,78.8810483870968
"554",55400,554,79.7198772064467
"555",55500,555,26.8546942952162
"556",55600,556,71.8699596774194
"557",55700,557,82.8511424731183
"558",55800,558,81.3669701568032
"559",55900,559,76.0936300844206
"560",56000,560,61.0677083333333
"561",56100,561,75.0575594781274
"562",56200,562,80.1789314516129
"563",56300,563,69.0335181451613
"564",56400,564,54.2953929539295
"565",56500,565,66.3012432795699
"566",56600,566,61.9615198451113
"567",56700,567,75.7226912253773
"568",56800,568,62.4495967741936
"569",56900,569,NA
"570",57000,570,79.6875
"571",57100,571,54.6111537477616
"572",57200,572,39.1340496290611
"573",57300,573,71.2638608870968
"574",57400,574,NA
"575",57500,575,57.9487507461414
"576",57600,576,92.7539012535175
"577",57700,577,91.860563142809
"578",57800,578,93.8592069892473
"579",57900,579,47.5249424405219
"580",58000,580,52.3639112903226
"581",58100,581,49.512663085188
"582",58200,582,66.7945766180609
"583",58300,583,64.7177419354839
"584",58400,584,18.4369403939627
"585",58500,585,32.9112304937324
"586",58600,586,NA
"587",58700,587,17.299820926068
"588",58800,588,NA
"589",58900,589,1.60660282258065
"590",59000,590,32.2265625
"591",59100,591,48.9289314516129
"592",59200,592,27.5012600806452
"593",59300,593,83.0897177419355
"594",59400,594,46.5208493220773
"595",59500,595,4.65599798387097
"596",59600,596,NA
"597",59700,597,50.8001512096774
"598",59800,598,NA
"599",59900,599,NA
"600",60000,600,67.4661038628805
"601",60100,601,NA
"602",60200,602,NA
"603",60300,603,NA
"604",60400,604,73.7462197580645
"605",60500,605,38.05321053978
"606",60600,606,77.7091733870968
"607",60700,607,NA
"608",60800,608,74.0893817204301
"609",60900,609,73.5005040322581
"610",61000,610,23.938347403428
"611",61100,611,76.8227168073676
"612",61200,612,68.2963709677419
"613",61300,613,63.2903388973192
"614",61400,614,88.7348790322581
"615",61500,615,25.0959324635457
"616",61600,616,46.5208493220773
"617",61700,617,NA
"618",61800,618,50.3267182962246
"619",61900,619,42.9149865591398
"620",62000,620,45.1503696236559
"621",62100,621,12.1962138654387
"622",62200,622,72.8511128165771
"623",62300,623,17.1207469941161
"624",62400,624,78.0250703504733
"625",62500,625,61.3373655913978
"626",62600,626,36.1273521505376
"627",62700,627,37.2227822580645
"628",62800,628,16.9354838709677
"629",62900,629,7.02494959677419
"630",63000,630,25.4662298387097
"631",63100,631,41.7101560501407
"632",63200,632,37.9334677419355
"633",63300,633,NA
"634",63400,634,NA
"635",63500,635,42.1561354140019
"636",63600,636,36.8762600806452
"637",63700,637,33.6595037093886
"638",63800,638,61.2688667178306
"639",63900,639,31.3827065745715
"640",64000,640,53.9843949859299
"641",64100,641,28.5723286290323
"642",64200,642,38.9102072141213
"643",64300,643,NA
"644",64400,644,92.7545362903226
"645",64500,645,81.5809669992325
"646",64600,646,21.6742539200809
"647",64700,647,46.9808467741935
"648",64800,648,40.1957022256332
"649",64900,649,88.7481879423552
"650",65000,650,64.1852136096188
"651",65100,651,NA
"652",65200,652,NA
"653",65300,653,84.0893817204301
"654",65400,654,83.1562974203338
"655",65500,655,82.1807795698925
"656",65600,656,93.6239919354839
"657",65700,657,90.8160654898951
"658",65800,658,48.387936827957
"659",65900,659,64.3885904323356
"660",66000,660,66.3020833333333
"661",66100,661,NA
"662",66200,662,33.6115326251897
"663",66300,663,71.6544858870968
"664",66400,664,92.8679435483871
"665",66500,665,76.8866717830647
"666",66600,666,27.0421706989247
"667",66700,667,68.6365927419355
"668",66800,668,82.4092741935484
"669",66900,669,61.658992069583
"670",67000,670,80.9478127398312
"671",67100,671,82.6864919354839
"672",67200,672,52.6839717741936
"673",67300,673,34.0070564516129
"674",67400,674,42.9009976976209
"675",67500,675,5.05883857764134
"676",67600,676,NA
"677",67700,677,28.0241935483871
"678",67800,678,NA
"679",67900,679,26.2735215053763
